species,precision,recall,f1,support
Acorn Woodpecker,0.0,0.0,0.0,0
American Crow,0.9764705882352941,0.9431818181818182,0.9595375722543352,88
American Robin,1.0,1.0,1.0,22
Anna's Hummingbird,1.0,1.0,1.0,21
Black Phoebe,0.0,0.0,0.0,0
Brewer's Blackbird,0.9642857142857143,1.0,0.9818181818181818,27
Bushtit,0.8529411764705882,0.8613861386138614,0.8571428571428571,101
California Scrub-Jay,0.9397590361445783,0.9397590361445783,0.9397590361445783,83
California Towhee,0.0,0.0,0.0,0
Chestnut-backed Chickadee,0.88,0.8354430379746836,0.8571428571428571,79
Cooper's Hawk,0.9504950495049505,0.9411764705882353,0.9458128078817734,102
Dark-eyed Junco,0.967741935483871,1.0,0.9836065573770492,30
House Finch,1.0,1.0,1.0,30
Lesser Goldfinch,0.9438202247191011,0.9438202247191011,0.9438202247191011,89
Mourning Dove,1.0,1.0,1.0,23
Northern Mockingbird,1.0,1.0,1.0,21
Oak Titmouse,0.8089887640449438,0.8571428571428571,0.8323699421965318,84
Red-tailed Hawk,0.967741935483871,1.0,0.9836065573770492,30
White-crowned Sparrow,0.0,0.0,0.0,0
Yellow-rumped Warbler,0.9024390243902439,0.891566265060241,0.896969696969697,83
