species,precision,recall,f1,support
Acorn Woodpecker,0.0,0.0,0.0,0
American Crow,0.9550561797752809,0.9659090909090909,0.96045197740113,88
American Robin,1.0,1.0,1.0,22
Anna's Hummingbird,1.0,1.0,1.0,21
Black Phoebe,0.0,0.0,0.0,0
Brewer's Blackbird,1.0,1.0,1.0,27
Bushtit,0.8290598290598291,0.9603960396039604,0.8899082568807339,101
California Scrub-Jay,0.9634146341463414,0.9518072289156626,0.9575757575757575,83
California Towhee,0.0,0.0,0.0,0
Chestnut-backed Chickadee,0.918918918918919,0.8607594936708861,0.8888888888888888,79
Cooper's Hawk,0.9514563106796117,0.9607843137254902,0.9560975609756097,102
Dark-eyed Junco,0.967741935483871,1.0,0.9836065573770492,30
House Finch,1.0,1.0,1.0,30
Lesser Goldfinch,0.9767441860465116,0.9438202247191011,0.96,89
Mourning Dove,1.0,1.0,1.0,23
Northern Mockingbird,1.0,1.0,1.0,21
Oak Titmouse,0.9102564102564102,0.8452380952380952,0.8765432098765432,84
Red-tailed Hawk,1.0,1.0,1.0,30
White-crowned Sparrow,0.0,0.0,0.0,0
Yellow-rumped Warbler,0.9240506329113924,0.8795180722891566,0.9012345679012346,83
