species,precision,recall,f1,support
Acorn Woodpecker,0.0,0.0,0.0,0
American Crow,0.9764705882352941,0.9431818181818182,0.9595375722543352,88
American Robin,1.0,1.0,1.0,22
Anna's Hummingbird,1.0,1.0,1.0,21
Black Phoebe,0.0,0.0,0.0,0
Brewer's Blackbird,0.9642857142857143,1.0,0.9818181818181818,27
Bushtit,0.8272727272727273,0.900990099009901,0.8625592417061612,101
California Scrub-Jay,0.963855421686747,0.963855421686747,0.963855421686747,83
California Towhee,0.0,0.0,0.0,0
Chestnut-backed Chickadee,0.868421052631579,0.8354430379746836,0.8516129032258064,79
Cooper's Hawk,0.9504950495049505,0.9411764705882353,0.9458128078817734,102
Dark-eyed Junco,1.0,1.0,1.0,30
House Finch,1.0,1.0,1.0,30
Lesser Goldfinch,0.9444444444444444,0.9550561797752809,0.9497206703910615,89
Mourning Dove,1.0,1.0,1.0,23
Northern Mockingbird,1.0,1.0,1.0,21
Oak Titmouse,0.875,0.8333333333333334,0.8536585365853658,84
Red-tailed Hawk,0.9090909090909091,1.0,0.9523809523809523,30
White-crowned Sparrow,0.0,0.0,0.0,0
Yellow-rumped Warbler,0.925,0.891566265060241,0.9079754601226994,83
