species,precision,recall,f1,support
Acorn Woodpecker,0.0,0.0,0.0,0
American Crow,0.9651162790697675,0.9431818181818182,0.9540229885057471,88
American Robin,1.0,1.0,1.0,22
Anna's Hummingbird,1.0,1.0,1.0,21
Black Phoebe,0.0,0.0,0.0,0
Brewer's Blackbird,0.9310344827586207,1.0,0.9642857142857143,27
Bushtit,0.8666666666666667,0.900990099009901,0.883495145631068,101
California Scrub-Jay,0.9195402298850575,0.963855421686747,0.9411764705882353,83
California Towhee,0.0,0.0,0.0,0
Chestnut-backed Chickadee,0.9342105263157895,0.8987341772151899,0.9161290322580645,79
Cooper's Hawk,0.9428571428571428,0.9705882352941176,0.9565217391304348,102
Dark-eyed Junco,1.0,1.0,1.0,30
House Finch,1.0,0.9666666666666667,0.9830508474576272,30
Lesser Goldfinch,0.9764705882352941,0.9325842696629213,0.9540229885057471,89
Mourning Dove,1.0,1.0,1.0,23
Northern Mockingbird,1.0,1.0,1.0,21
Oak Titmouse,0.8933333333333333,0.7976190476190477,0.8427672955974843,84
Red-tailed Hawk,0.9375,1.0,0.967741935483871,30
White-crowned Sparrow,0.0,0.0,0.0,0
Yellow-rumped Warbler,0.8735632183908046,0.9156626506024096,0.8941176470588236,83
