species,precision,recall,f1,support
Acorn Woodpecker,0.0,0.0,0.0,0
American Crow,0.9655172413793104,0.9545454545454546,0.96,88
American Robin,1.0,1.0,1.0,22
Anna's Hummingbird,1.0,1.0,1.0,21
Black Phoebe,0.0,0.0,0.0,0
Brewer's Blackbird,0.9642857142857143,1.0,0.9818181818181818,27
Bushtit,0.8378378378378378,0.9207920792079208,0.8773584905660378,101
California Scrub-Jay,0.898876404494382,0.963855421686747,0.9302325581395349,83
California Towhee,0.0,0.0,0.0,0
Chestnut-backed Chickadee,0.9130434782608695,0.7974683544303798,0.8513513513513513,79
Cooper's Hawk,0.9423076923076923,0.9607843137254902,0.9514563106796117,102
Dark-eyed Junco,0.967741935483871,1.0,0.9836065573770492,30
House Finch,1.0,0.9666666666666667,0.9830508474576272,30
Lesser Goldfinch,0.9883720930232558,0.9550561797752809,0.9714285714285714,89
Mourning Dove,1.0,1.0,1.0,23
Northern Mockingbird,1.0,1.0,1.0,21
Oak Titmouse,0.8658536585365854,0.8452380952380952,0.8554216867469879,84
Red-tailed Hawk,0.967741935483871,1.0,0.9836065573770492,30
White-crowned Sparrow,0.0,0.0,0.0,0
Yellow-rumped Warbler,0.9113924050632911,0.8674698795180723,0.8888888888888888,83
