species,precision,recall,f1,support
Acorn Woodpecker,0.0,0.0,0.0,0
American Crow,0.9555555555555556,0.9772727272727273,0.9662921348314607,88
American Robin,1.0,1.0,1.0,22
Anna's Hummingbird,1.0,1.0,1.0,21
Black Phoebe,0.0,0.0,0.0,0
Brewer's Blackbird,1.0,1.0,1.0,27
Bushtit,0.8157894736842105,0.9207920792079208,0.8651162790697674,101
California Scrub-Jay,0.8888888888888888,0.963855421686747,0.9248554913294798,83
California Towhee,0.0,0.0,0.0,0
Chestnut-backed Chickadee,0.8947368421052632,0.8607594936708861,0.8774193548387097,79
Cooper's Hawk,0.9603960396039604,0.9509803921568627,0.9556650246305419,102
Dark-eyed Junco,1.0,1.0,1.0,30
House Finch,1.0,0.9666666666666667,0.9830508474576272,30
Lesser Goldfinch,0.9882352941176471,0.9438202247191011,0.9655172413793104,89
Mourning Dove,1.0,1.0,1.0,23
Northern Mockingbird,1.0,1.0,1.0,21
Oak Titmouse,0.8918918918918919,0.7857142857142857,0.8354430379746836,84
Red-tailed Hawk,0.967741935483871,1.0,0.9836065573770492,30
White-crowned Sparrow,0.0,0.0,0.0,0
Yellow-rumped Warbler,0.9240506329113924,0.8795180722891566,0.9012345679012346,83
