species,precision,recall,f1,support
Acorn Woodpecker,0.0,0.0,0.0,0
American Crow,0.9883720930232558,0.9659090909090909,0.9770114942528736,88
American Robin,1.0,1.0,1.0,22
Anna's Hummingbird,1.0,1.0,1.0,21
Black Phoebe,0.0,0.0,0.0,0
Brewer's Blackbird,1.0,1.0,1.0,27
Bushtit,0.8348623853211009,0.900990099009901,0.8666666666666667,101
California Scrub-Jay,0.9411764705882353,0.963855421686747,0.9523809523809523,83
California Towhee,0.0,0.0,0.0,0
Chestnut-backed Chickadee,0.9210526315789473,0.8860759493670886,0.9032258064516129,79
Cooper's Hawk,0.9528301886792453,0.9901960784313726,0.9711538461538461,102
Dark-eyed Junco,1.0,1.0,1.0,30
House Finch,1.0,1.0,1.0,30
Lesser Goldfinch,0.9761904761904762,0.9213483146067416,0.9479768786127167,89
Mourning Dove,1.0,1.0,1.0,23
Northern Mockingbird,0.9545454545454546,1.0,0.9767441860465116,21
Oak Titmouse,0.8571428571428571,0.8571428571428571,0.8571428571428571,84
Red-tailed Hawk,1.0,1.0,1.0,30
White-crowned Sparrow,0.0,0.0,0.0,0
Yellow-rumped Warbler,0.9487179487179487,0.891566265060241,0.9192546583850931,83
