species,precision,recall,f1,support
Acorn Woodpecker,0.0,0.0,0.0,0
American Crow,0.9555555555555556,0.9772727272727273,0.9662921348314607,88
American Robin,1.0,1.0,1.0,22
Anna's Hummingbird,1.0,1.0,1.0,21
Black Phoebe,0.0,0.0,0.0,0
Brewer's Blackbird,1.0,1.0,1.0,27
Bushtit,0.8141592920353983,0.9108910891089109,0.8598130841121495,101
California Scrub-Jay,0.9512195121951219,0.9397590361445783,0.9454545454545454,83
California Towhee,0.0,0.0,0.0,0
Chestnut-backed Chickadee,0.9090909090909091,0.8860759493670886,0.8974358974358975,79
Cooper's Hawk,0.9306930693069307,0.9215686274509803,0.9261083743842364,102
Dark-eyed Junco,1.0,1.0,1.0,30
House Finch,1.0,0.9666666666666667,0.9830508474576272,30
Lesser Goldfinch,0.963855421686747,0.898876404494382,0.9302325581395349,89
Mourning Dove,1.0,0.9565217391304348,0.9777777777777777,23
Northern Mockingbird,0.9130434782608695,1.0,0.9545454545454546,21
Oak Titmouse,0.8536585365853658,0.8333333333333334,0.8433734939759037,84
Red-tailed Hawk,1.0,1.0,1.0,30
White-crowned Sparrow,0.0,0.0,0.0,0
Yellow-rumped Warbler,0.9012345679012346,0.8795180722891566,0.8902439024390244,83
